ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,meanG,logStdG,meanC,logStdC
1,0,.71428571E-01,.0000000,1,14,-4666.0694,.0000000,.0000000,-.69314718,-1.0000000
1,0,.11764706,.0000000,1,3,-2866.9774,.14017490,.12784745,1.0287027,-1.6053390
1,0,.16666667,.0000000,2,1,-2264.3357,-.37882255,.30862374,-.47568638,-3.0342097
1,0,.20000000,.0000000,3,2,-814.77554,2.5529289,-.92666606,-.40867965,-3.1192443
1,0,.21739130,.0000000,4,3,Inf,3.0550276,-2.2466797,-1.3401555,-4.1107787
1,0,.24000000,.0000000,6,2,Inf,4.0539740,-2.4099421,-2.7438236,-2.8196742
1,0,.26923077,.0000000,7,1,Inf,4.7604928,-3.9370237,-1.4486711,-3.9443763
1,0,.28571429,.0000000,8,2,Inf,4.3832874,-2.4015417,-1.2298218,-2.4238623
1,0,.31034483,.0000000,9,1,Inf,4.3166960,-2.8954063,-.68065887,-5.0074458
1,0,.33333333,.0000000,10,1,Inf,4.2304636,-2.8179216,-1.0194958,-5.4203874
1,0,.35483871,.0000000,11,1,Inf,6.1815203,-3.3571040,-.10517212,-4.9975760
1,0,.37500000,.71705766,12,1,Inf,5.5795401,-3.9080756,-1.0695793,-5.6189065
1,0,.39393939,.0000000,13,1,Inf,7.1072345,-4.8267457,-.71594935,-7.2520550
1,0,.41176471,.0000000,14,1,Inf,5.4635729,-3.4213344,.86880032,-5.2646322
1,0,.42857143,.0000000,15,1,Inf,7.6926214,-4.6275744,.64623456E-01,-5.3168985
1,0,.44444444,.0000000,16,1,Inf,11.999968,-7.5332774,-.52984823,-9.9041765
1,0,.45945946,.0000000,17,1,Inf,8.1085277,-5.0257485,.32254554,-9.4354108
1,0,.47368421,.0000000,18,1,Inf,10.216924,-6.4381827,-.40673141,-11.081400
1,0,.48717949,.0000000,19,1,Inf,14.875496,-9.4072144,.52704944,-15.085663
1,0,.50000000,.0000000,20,1,Inf,16.806737,-11.570839,-2.2083659,-16.172251
1,0,.51219512,.0000000,21,1,Inf,22.956291,-14.884561,-4.6876353,-19.336587
1,0,.52380952,.0000000,22,1,Inf,22.628825,-15.463106,-4.8157948,-20.604959
1,0,.53488372,.0000000,23,1,Inf,23.159927,-15.185353,-2.8570724,-21.417343
1,0,.54545455,.0000000,24,1,Inf,25.062060,-16.078558,-2.3616030,-22.533309
1,0,.55555556,.0000000,25,1,Inf,26.139392,-16.877138,-2.4483590,-23.458331
1,0,.56521739,.0000000,26,1,Inf,24.249103,-15.267768,-.88825252E-01,-21.714494
1,0,.57446809,.0000000,27,1,Inf,25.613869,-16.468845,-1.1739239,-23.145167
1,0,.58333333,.57780327,28,1,Inf,28.831726,-18.641121,-1.5838607,-25.032834
1,0,.59183673,.0000000,29,1,Inf,23.682087,-14.791535,-3.4458691,-20.410694
1,0,.60000000,.0000000,30,1,Inf,21.901151,-12.867948,-2.6324828,-17.916070
1,0,.60784314,.0000000,31,1,Inf,20.518464,-11.816072,-1.4434779,-16.254620
1,0,.60377358,.0000000,32,2,Inf,8.0409337,-3.2587825,-.30113386,-4.9858489
1,0,.60000000,.0000000,33,2,Inf,10.739335,-5.2490996,-1.4944115,-6.8713794
1,0,.59649123,.0000000,34,2,Inf,13.224947,-7.2152679,-2.5309879,-8.3018780
1,0,.60344828,.0000000,35,1,Inf,24.342433,-14.408111,-4.6593852,-16.256100
1,0,.61016949,.0000000,36,1,Inf,14.694156,-7.9469147,-4.9427158,-8.4365730
1,0,.61666667,.0000000,37,1,Inf,16.887798,-9.7146952,-4.3082520,-9.5610528
1,0,.62295082,.0000000,38,1,Inf,15.650724,-8.6561347,-2.8325571,-7.6336390
1,0,.61904762,.0000000,39,2,Inf,4.9569043,-2.3541380,-2.4327510,1.5016074
1,0,.62500000,.37603490,40,1,Inf,14.501752,-8.2234610,-.68128770,-7.8124414
1,0,.63076923,.0000000,41,1,Inf,30.956813,-19.419191,-2.0307258,-23.340251
1,0,.63636364,.0000000,42,1,Inf,32.935239,-20.389782,-2.3509919,-25.715291
1,0,.64179104,.0000000,43,1,Inf,20.358247,-12.366828,-1.4877422,-15.177506
1,0,.64705882,.0000000,44,1,Inf,36.293820,-24.487903,-3.7830398,-30.650046
1,0,.65217391,.0000000,45,1,Inf,64.401218,-42.017738,-5.8634999,-53.092259
