NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,650,NaN,NaN,1.4549999,1.4549999,43.314228
1999,1197,NaN,NaN,3.4190001,4.8740001,76.562927
2999,1719,NaN,NaN,3.9710000,8.8450000,94.063668
3999,2198,NaN,NaN,4.6629999,13.508000,109.40374
4999,2732,NaN,NaN,3.5800002,17.088000,108.00717
5999,3295,NaN,NaN,3.1420000,20.230000,102.56211
6999,3827,NaN,NaN,3.1129999,23.343000,98.648115
7999,4362,NaN,NaN,4.2510002,27.594000,98.925945
8999,4851,NaN,NaN,4.3449998,31.939000,99.741066
9999,5329,NaN,NaN,5.1790001,37.118000,102.18769
10999,5775,NaN,NaN,4.5660000,41.684000,102.67617
11999,6321,NaN,NaN,3.4170001,45.101000,97.601104
12999,6894,NaN,NaN,2.8139999,47.915000,91.089932
13999,7414,NaN,NaN,3.6090000,51.524000,87.467098
14999,7935,NaN,NaN,3.8620000,55.386000,84.213244
15999,8455,NaN,NaN,4.1240001,59.510000,81.258776
16999,8948,NaN,NaN,4.2630000,63.773000,78.768350
17999,9458,NaN,NaN,3.7620001,67.535000,75.275319
18999,9967,NaN,NaN,4.3820000,71.917000,72.393224
19999,10394,NaN,NaN,6.0330000,77.950000,72.040379
20999,10777,NaN,NaN,5.5809999,83.531000,71.486166
21999,11288,NaN,NaN,3.5710001,87.102000,67.224719
22999,11824,NaN,NaN,3.7579999,90.860000,62.827415
23999,12262,NaN,NaN,5.1410000,96.001000,60.581939
24999,12812,NaN,NaN,3.0050001,99.006000,55.545983
25999,13269,NaN,NaN,5.0030000,104.00900,52.760915
