NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,649,NaN,NaN,2.3740001,2.3740001,70.784708
1999,1165,NaN,NaN,3.6250000,5.9990001,96.988126
2999,1711,NaN,NaN,3.7070000,9.7060001,103.74812
3999,2273,NaN,NaN,3.4649999,13.171000,102.71989
4999,2779,NaN,NaN,4.2309999,17.402000,107.83729
5999,3233,NaN,NaN,4.9380000,22.340000,115.85981
6999,3763,NaN,NaN,3.6680002,26.008000,112.22214
7999,4294,NaN,NaN,3.5920000,29.600000,108.26679
8999,4767,NaN,NaN,4.8989999,34.499000,110.24193
9999,5332,NaN,NaN,4.2289999,38.728000,106.53832
10999,5900,NaN,NaN,2.6670001,41.395000,98.927034
11999,6422,NaN,NaN,2.8040001,44.199000,93.449708
12999,6917,NaN,NaN,3.4340000,47.633000,90.094339
