ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,meanG,logStdG,meanC,logStdC
1,0,.33333333,.0000000,1,3,-2181.2474,.0000000,.0000000,.50000000,-2.3025851
1,0,.45454545E-01,.14437793,1,41,-1403.8469,-.67695056,-.29720589,1.9154266,-2.7195700
1,0,.56603774E-01,.14437793,2,9,-1036.7278,-.26544663,-.42987445,2.1625426,-3.5376045
1,0,.74074074E-01,.0000000,3,1,-981.40208,.30246977,.11652391,1.2696441,-5.1322346
1,0,.90909091E-01,.0000000,4,1,-562.43346,1.0347241,.66110035,.21768638,-5.6244007
1,0,.98360656E-01,.0000000,5,6,-361.08011,2.0017694,.88814911,-.34198247,-6.5615170
1,0,.11111111,.0000000,6,2,1097.5884,3.5726986,1.0017914,-.95317561,-7.6038471
1,0,.11428571,.91611757,7,7,4841.4558,4.4266253,.78924863,-1.0505823,-9.4019394
1,0,.12676056,.0000000,8,1,5083.4847,5.0260579,.78365082,-.92276971,-10.364031
1,0,.13333333,.0000000,9,4,5224.1255,4.5001887,.48653241,-.43178038,-9.5509354
1,0,.14102564,.0000000,10,3,5893.2832,5.2345664,.82038501,-1.1563505,-10.193644
1,0,.13483146,.34176824,11,11,9628.4332,5.3106428,.62205768,-1.1778800,-9.6530620
1,0,.13541667,.0000000,12,7,11192.172,5.4843339,.49279494,-1.0159629,-10.334853
1,0,.13084112,.0000000,13,11,21169.520,7.5327003,.63040470,-1.9525038,-12.682363
1,0,.13636364,.0000000,14,3,25825.651,7.4685781,.56942079,-2.1194015,-12.143234
1,0,.14159292,.37365198,15,3,32668.881,8.0811026,.55702203,-2.4238410,-12.645082
1,0,.14912281,.0000000,16,1,53516.589,11.543744,.68709331,-3.6396667,-16.796239
1,0,.15517241,.0000000,17,2,126562.72,9.5163754,-.14598646E-01,-1.9527903,-14.836405
1,0,.16239316,.0000000,18,1,186405.56,8.9482740,-.67221596,-1.2172713,-13.713749
1,0,.16528926,.0000000,19,4,304471.06,11.489034,-.31136275,-2.7415987,-16.251852
1,0,.16935484,.0000000,20,3,306811.77,12.275014,-.31891544,-2.5493874,-17.702133
1,0,.17460317,.0000000,21,2,329649.16,11.027259,-.56387699,-2.0489827,-15.855590
1,0,.17293233,.35417702,22,7,379351.78,10.722817,-.81730042,-1.6162402,-15.282797
