year, anomaly
1.748923076923076906e+03, nan
1.749076923076923094e+03, nan
1.749153846153846189e+03, nan
1.749230769230769283e+03, nan
1.749307692307692378e+03, nan
1.749384615384615472e+03, nan
1.749461538461538566e+03, nan
1.749538461538461434e+03, nan
1.749615384615384528e+03, nan
1.749692307692307622e+03, nan
1.749769230769230717e+03, nan
1.749846153846153811e+03, nan
1.749923076923076906e+03, nan
1.750076923076923094e+03, 4.209999999999999853e-01
1.750153846153846189e+03, 4.249999999999999889e-01
1.750230769230769283e+03, 5.260000000000000231e-01
1.750307692307692378e+03, -1.089999999999999997e-01
1.750384615384615472e+03, 6.300000000000000044e-02
1.750461538461538566e+03, -3.350000000000000200e-01
1.750538461538461434e+03, 1.622999999999999998e+00
1.750615384615384528e+03, 7.099999999999999645e-01
1.750692307692307622e+03, -8.890000000000000124e-01
1.750769230769230717e+03, -3.027000000000000135e+00
1.750846153846153811e+03, nan
1.750923076923076906e+03, -1.618999999999999995e+00
1.751076923076923094e+03, -3.059999999999999942e-01
1.751153846153846189e+03, -2.176000000000000156e+00
1.751230769230769283e+03, 9.340000000000000524e-01
1.751307692307692378e+03, -5.010000000000000009e-01
1.751384615384615472e+03, nan
1.751461538461538566e+03, 5.310000000000000275e-01
1.751538461538461434e+03, 6.280000000000000027e-01
1.751615384615384528e+03, 3.509999999999999787e-01
1.751692307692307622e+03, -1.566999999999999948e+00
1.751769230769230717e+03, nan
1.751846153846153811e+03, nan
1.751923076923076906e+03, nan
1.752076923076923094e+03, -2.624000000000000110e+00
1.752153846153846189e+03, nan
1.752230769230769283e+03, 1.122999999999999998e+00
1.752307692307692378e+03, -6.380000000000000115e-01
1.752384615384615472e+03, nan
1.752461538461538566e+03, nan
1.752538461538461434e+03, nan
1.752615384615384528e+03, nan
1.752692307692307622e+03, nan
1.752769230769230717e+03, -1.600999999999999979e+00
1.752846153846153811e+03, 8.990000000000000213e-01
1.752923076923076906e+03, 5.360000000000000320e-01
1.753076923076923094e+03, -9.379999999999999449e-01
1.753153846153846189e+03, -1.542999999999999927e+00
1.753230769230769283e+03, 1.171999999999999931e+00
1.753307692307692378e+03, -3.559999999999999831e-01
1.753384615384615472e+03, 8.229999999999999538e-01
1.753461538461538566e+03, 1.433000000000000052e+00
1.753538461538461434e+03, 5.999999999999999778e-01
1.753615384615384528e+03, -1.390000000000000124e-01
