NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,252,.25335980,.25310644,.15700006,.15700006,2.9580806
1999,588,.28919047,.32498530,.13499999,.29200006,2.1909936
2999,803,.26558982,.21841212,.12199998,.41400003,2.1638333
3999,974,.24127088,.16833840,.14700007,.56100011,2.3188772
4999,1145,.22838548,.17685677,.13499999,.69600010,2.3433016
5999,1344,.22573812,.21250394,.12100005,.81700015,2.2224349
6999,1603,.22874873,.24680939,.12299991,.94000006,1.9920026
7999,1871,.23316661,.26408733,.12199998,1.0620000,1.7760546
8999,2132,.23519437,.25141441,.11899996,1.1810000,1.5886998
9999,2435,.24088909,.29213589,.11600018,1.2970002,1.3662445
10999,2687,.24215276,.25478827,.11799979,1.4150000,1.2180480
11999,2973,.24617941,.29046847,.11100006,1.5260000,1.0404312
12999,3279,.25120246,.31147402,.10599995,1.6320000,.85656357
13999,3620,.25721030,.33530626,.11700010,1.7490001,.66674588
14999,3952,.26165300,.32384629,.12199998,1.8710001,.49615588
15999,4259,.26462221,.30915738,.15199995,2.0230000,.35197065
16999,4565,.26701525,.30530159,.11899996,2.1420000,.20411172
17999,4882,.27022967,.32487156,.11600018,2.2580001,.54576816E-01
18375,5000,.27092455,.30418829,.46000004E-01,2.3040001,.0000000
