n,fib,runtime
1,1,1.98371234247766e-06
2,1,4.26824726519436e-06
3,2,3.94211353772842e-06
4,3,4.13521903425431e-06
5,5,4.0300838194791e-06
6,8,6.34053033602489e-06
7,13,4.02364696959491e-06
8,21,4.04081190261943e-06
9,34,4.05153998575976e-06
10,55,4.13307341762624e-06
11,89,4.06625278549506e-06
12,144,4.1209460192937e-06
13,233,4.3841105631099e-06
14,377,4.13006155826014e-06
15,610,4.17563925309234e-06
16,987,4.24856356482385e-06
17,1597,4.1665237141259e-06
18,2584,4.42391175156051e-06
19,4181,4.26907352749834e-06
20,6765,4.21210140895809e-06
21,10946,4.22805360214936e-06
22,17711,4.20526475473326e-06
23,28657,4.27363129698156e-06
24,46368,4.47417315424323e-06
25,75025,4.27591018172317e-06
26,121393,4.29186237491444e-06
27,196418,4.62592155709287e-06
28,317811,4.8640875878884e-06
29,514229,4.33701427812386e-06
30,832040,4.33060341552181e-06
31,1346269,4.32494518459099e-06
32,2178309,4.39977356449477e-06
33,3524578,4.40460120190792e-06
34,5702887,4.3973597457882e-06
35,9227465,4.84198515153906e-06
